Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC000	5829.897	75109.82450000006	34925.10568	53222.96425000004	455239.4538699992	17107.016369999994	263890.50293	66274.01069000004	39149.03997000001	61614.13079999999	17167.08937000001	56324.328269999925	213561.13371000023	11719.188709999991	51729.93887999995	412729.5130199999	48483.66776999993	4156.149940000002	18410.34979000001	9714.19784	27089.230990000004	20342.732730000003	21971.41721	27240.191960000026	44607.47645999999	38243.266180000006	40890.108960000034	86883.17640999999	63235.37774999992	92025.28003000002	114719.19504999994	51071.15951	43451.90097	199863.71874999985	178977.0676899998	181667.4677200004	23453.85606999999	35766.87081	113688.59162000017	32262.08725000002	11919.662340000004	15991.82689000001	229542.1885500001	329129.5066400004	271246.4620599999	92253.20176999984	428302.0654800001	89614.20668999999	63258.85874999995	21866.26876000001	40590.06263999999	10949.185830000004	41676.41883999996	23253.98612000002	18822.97688000001	55528.798649999975	173981.95450999992	534043.6252100003	343607.664429999	61541.63838999998	54892.43996999996	37077.45690999999	136961.37570000012	91013.41817000003	50548.98259000001	185764.0133499999	51803.83683000002	15607.649440000008	29196.38012000002	109112.19777999991	8445.090520000002	28528.32551000001	120262.82491000008	50842.042759999975	140815.3737400001	106073.85895000008	261443.64472000016	74890.12070999997	46412.65784999999	60780.80330000002	163541.82540000006	64785.16962999996	18546.503	61482.67730999999	36846.74767000002	70491.90143	24067.756309999982	439396.7314799999
TSC001	6776.942970000001	68654.15659000006	35068.09676999997	45967.31492999998	430275.1800799994	21630.483449999992	249590.6890200005	66854.69024	33891.917230000014	65612.39726	13847.096759999997	53218.04114000003	194306.58177	11226.172389999994	52754.86564000001	393207.5280900008	39689.380570000016	4337.948879999999	19702.256140000023	7767.45828	30172.993410000006	23719.409359999994	18095.91143	31813.618509999986	43215.369580000064	30440.99009000001	48676.32298000008	81088.6221	54163.65638000004	91639.82156999991	99905.39566000002	52223.59876000007	43247.04518000003	194365.9398500001	169609.09965000025	168844.66593999974	25880.280710000014	33240.761179999994	103848.59125999988	31823.671460000005	10865.37847	12505.38243	209204.24581999984	288336.0945799996	233800.0555100001	93916.75052999998	396108.84461	76742.35515999998	55086.93161999994	20278.148800000003	37274.630809999966	11190.073349999995	35506.40703	17933.418920000015	24281.493120000014	56559.74768000007	160927.31536999994	494196.0268700003	307075.32675999985	58502.05316000006	47427.08948999997	36125.55894	136715.5450099997	88479.52718999992	44708.25568999997	171949.18393000014	45799.07476	13418.31478	27731.03126000002	109229.14076000014	10285.04391	27292.169720000016	110842.77542999997	54923.79514000002	130392.43279	98013.97080999998	245293.2188799998	73819.29858000003	39574.655860000006	58104.44873999999	138888.91351999994	53933.45738	15096.10706999999	60401.28550000007	32530.553419999986	64487.69836000005	19684.20861	386383.409
TSC002	3516.998849999999	18990.66761999999	11080.028619999995	10377.494819999998	93176.14420000004	8270.717260000007	55341.324810000064	21747.78735	10919.804829999995	22591.04985000002	6980.845150000005	26097.129180000004	34717.596010000045	5985.261139999999	19410.66834	83475.8603499999	18217.37826	2878.982400000001	9327.57991	7339.016900000001	12114.873510000016	12420.383250000004	8735.46301	11400.65642	22776.79808	7479.346469999999	14608.135119999995	27350.823420000022	20624.26106	35172.22628000001	28727.39406999998	15301.136839999996	7308.345300000003	46554.34665999996	34075.12208999997	61547.70795999998	6997.40669	17670.480730000007	33931.001509999995	13308.716129999992	7393.293629999996	5712.329849999999	47467.07686	73973.98919999994	79569.66537999987	23397.627179999992	58225.39996999992	26079.176690000004	19165.179199999995	7843.272949999994	13528.670069999996	7281.457099999999	12828.016260000002	8327.630930000001	15978.572709999991	16346.999430000007	48703.45002999999	111313.68189000004	67849.69033999988	33410.97957999999	23166.24417	12723.992599999994	47589.11672000002	21085.482160000003	19864.729219999976	33671.51153000001	11694.72855	6837.908480000001	9851.86305	32728.521660000013	6335.995429999999	10676.53044	31328.23752000001	23047.72533	42317.13232999996	34256.05253	49231.45484999997	25274.07586999999	10792.60393	20265.813580000005	31161.861299999982	19242.60306999997	7931.530689999998	23119.49784	11987.825309999997	18538.678760000003	8348.244299999998	111827.96765000017
TSC003	5210.137830000002	38931.74007999999	21571.01044000001	27073.88984000001	208360.0793600001	9852.441880000004	121026.93636	34664.683090000006	20335.744599999995	34860.10550999997	9709.906219999995	41371.95360000001	82325.70623	9637.98480000001	29847.71488	186687.6836900001	24227.72189999997	3734.4310999999993	14470.581129999997	5908.123370000001	17776.850060000004	15953.17909	9972.269150000004	18288.379619999985	26493.58509000002	17122.764889999988	29684.138889999984	53137.29460999995	34100.41816999999	50934.29409999997	54086.00677000001	26137.563980000014	18886.62449	97386.14724000003	88731.5536100002	96495.43980000024	15069.270070000004	23987.06971999999	62559.42443000007	21649.24245	7501.951249999999	7985.400410000002	104323.0403500001	158548.4598199999	144979.2311699999	45727.483970000016	182312.79477000053	50853.385790000015	33127.892299999985	15790.056879999993	23200.40893	8632.315949999998	22267.350310000016	12261.8671	17071.04152	32758.443539999986	92803.18106	257025.80594999992	146253.72928999996	44333.42221999999	34215.99763000003	24321.76161000001	86583.08350000005	40198.56838999997	28464.389829999986	79048.86687000013	30851.433470000004	10518.79297	18676.775340000007	64516.48575000004	6666.848599999999	13769.134490000006	59565.83638000002	36096.89464	83307.64014000015	62720.77499999998	127219.52267000012	35935.255389999984	22584.139809999982	33913.78165999995	69955.95406	31618.66147000001	12166.982729999994	37394.52712999996	22664.964930000013	32258.375459999985	11169.626300000002	214710.5764899997
TSC004	7859.899479999997	67846.27234000004	34629.253959999995	48193.811730000016	414521.5460200004	16315.126419999997	244120.13376000008	62893.93076000005	34870.79784000004	59557.99452999999	15758.26902999998	55360.92635999997	187618.48946000007	15963.416689999996	51179.83076999998	379002.9312800001	39699.13532999999	3945.948640000001	17423.793129999995	13514.567740000006	33301.43351999997	21543.15263000001	17325.988050000004	29010.33251	47954.43576000002	33621.07747000002	43209.47951000001	89254.20673999997	55413.51721000004	88235.42139000003	102034.38137	50285.39653000003	40489.65080999999	197502.52062	176302.07087999984	165794.36633999986	18416.26495	34805.96709000001	112424.52076000004	33394.17263000003	11208.853830000002	13684.440210000002	206373.77575000012	285940.9913900004	242485.5415800004	85383.46888999992	369016.2271299995	75476.1238299999	58111.83058	24769.12738	38860.25020000003	11221.15812	38592.50173000001	21136.372160000014	22670.23013000001	64719.63272999999	161860.5292699997	499546.0722799985	320471.54616	56434.21579000003	65265.12462	35468.155629999994	139690.38663000002	76005.18035999997	46904.95417999999	167544.1340900002	48656.0486	15647.218779999996	29307.06920999997	113267.54610999992	8370.83138	27364.81451000001	115179.51894999988	49417.96969000003	136222.55540999994	106080.50486000004	225687.6102500004	60580.31852999996	42304.35545999999	58406.06759999992	146706.11984999984	59245.47580000003	18965.64084	61628.11604	36738.46519999995	64902.04924999994	21207.341090000013	407460.4917800007
TSC005	10481.76585999999	82584.34137999995	38143.62560000007	51257.79587	474006.2521000001	22808.982349999995	291939.2729999994	77771.60559000002	38220.30253	64478.05992999999	19742.996560000003	79154.33667000006	212216.6713400001	20516.03262	65069.78665000003	431284.5953899999	50622.55013000005	8456.929790000006	27914.779739999976	10524.00988	44920.52054999996	31346.534459999963	13851.55182	41889.78141	62483.24102	40593.45267999997	56769.70821999997	92161.35468999983	69629.40643000008	107732.99453999996	114661.08353000002	56269.27936000002	43702.13757000002	223497.13192	213535.38669000028	208456.2159500004	24327.588580000007	46519.00030000003	136261.65923	38272.27894999998	14622.00829	19164.40832	239125.9830300001	339447.7503800003	296756.49900000007	103067.92897	451856.6531700005	94099.54103000002	68880.97214000006	28854.754030000007	51633.18287000002	20276.29191000001	40216.53412000004	24504.81068000001	38132.47502000003	60696.71117999999	196154.15009	574887.566780001	358826.87927000056	88792.17148	73227.70718999999	47690.889030000006	173249.86203	93104.80084999996	60088.62745999991	192542.91735999985	57692.00188000002	19678.492220000004	37211.20417	128093.35631999985	12501.46807	31906.32966	135747.06343999982	70632.6232299999	160035.62545999972	129566.94727	270487.7506600001	79317.87455999991	47661.91427000001	66320.53612000008	171812.12383	64579.51210000004	21199.397489999978	70308.95978999994	45364.97910999999	77366.14153000005	28515.02072000001	447897.5761699999
TSC006	5988.749530000004	80456.38313	41431.94753	57595.91104999997	514907.965420001	20356.4884	283802.0938899999	78047.61036000005	32556.606490000013	78183.99091000004	14584.038920000005	54648.06726999996	224150.31794	15338.8744	54981.914259999954	467855.6255600004	41031.88695999999	3979.857940000001	17933.55859	10529.424559999994	33966.20034999999	21848.35834000002	12932.390219999996	32726.860630000006	42832.47056999998	42613.49965999994	48268.45838	100789.95417	71028.89125000007	97355.14051999996	113007.24781000016	52211.65520999997	39325.20431000002	226971.80114000023	226135.1296600004	189898.73721999995	25409.61075	40833.502860000015	113223.99880000007	39673.21827000002	10216.369559999996	11969.70289	240038.62725000028	375767.8923800001	276434.5796100002	105057.17802000012	461215.24089999945	79044.40536999986	54619.79985000004	30819.934440000005	44940.45566999999	10853.653949999998	42073.45454999998	18151.238560000023	18519.715029999985	46826.53020000004	180061.1969699997	585168.3757799994	357874.9318999996	62119.36955999996	65415.317370000055	43140.96152	151006.55308000004	86611.41829999999	58203.45204	207407.3757900001	53745.43081999999	16731.760349999993	32957.49051000001	124575.19337999992	8849.256410000002	29476.3686	136012.57054000016	54607.51037999996	147723.30938999986	109691.38552000008	287619.7008100002	72740.12756000007	56613.82776999998	69018.11261	168331.93108000042	65565.34807000004	19123.61498	60552.26437999999	44285.783260000055	80020.87567	28406.30430999998	454624.2637399999
TSC008	5122.113069999999	81339.00831999995	43605.53081999997	50156.69043	487458.8727800005	22200.336300000003	284502.11963999993	67163.31613000004	39564.55909000002	66413.92642000005	19488.459350000005	61794.02651999999	214783.55192000003	15075.22546000001	54469.827500000014	446914.7441700012	41028.41334999997	3671.7168799999977	18720.43780999997	9845.866250000005	28726.24717	20164.05268	12596.573910000005	30850.224430000035	44084.76846000004	41347.026309999965	40985.68875000003	93247.41727999994	65149.61023000004	93645.7702900002	114118.58386000004	50894.49692000005	40571.61314000006	233264.6237199996	220397.54275999992	187126.71357999984	21250.47783	39042.78852	126663.26122000022	33768.79225000001	11821.399999999998	13677.892559999997	242931.35450000016	363276.8973200002	267689.5532199999	94196.31038000016	469620.3534500002	80453.29234999999	57038.503210000046	33690.668370000014	46002.867679999945	11179.99218	41114.36866999992	19855.36909	19732.303550000008	48219.34486999995	174079.12173000013	592403.6928900011	359418.33098000067	56031.81720999998	60142.04831999999	45485.23721000001	150948.42032000006	83558.28479999985	48261.29800000005	198853.52497999973	54741.83442000001	16838.60894999999	24203.550220000023	123480.92667999987	10475.61882	31884.91229999997	131630.46644000016	54542.64448000001	153201.61192999993	111438.67110000012	282226.77673000057	72032.22388999988	53053.61029000003	68316.94274	194212.0026800001	65151.441939999975	18684.664299999986	65951.50153999997	43444.78362000006	75666.29181999993	26781.227819999986	452485.2067499996
TSC011	2770.052739999999	21096.57742000001	10945.48724	14825.005940000005	119373.92776000002	6148.940910000001	64965.923610000005	22058.70193	12074.743890000009	17060.936680000017	5558.26294	20976.17159999999	51070.47469000003	6818.5718	16404.171339999986	105379.5432300001	14250.46285	2695.976100000001	7423.546179999998	4166.0509	12399.200160000008	8369.450760000005	3955.56752	10728.03331	18057.39775	9981.69151	15094.26062	26332.741830000017	15934.54416	30509.91847000001	36217.20707	16403.048090000004	10990.063319999996	57981.55401000002	48479.88705999991	57274.726340000016	8210.966320000003	11501.137120000005	35651.06095000004	11846.56898999999	4212.787090000001	4158.554779999998	65901.43350000007	83034.02517000001	73538.43428999998	27632.0758	91253.60920000012	25935.830419999987	20357.209420000003	7530.28223	12295.889549999998	4286.440699999997	11772.97715999999	7509.779899999999	9354.712710000003	16001.27595000001	57518.57042999996	136755.01124999957	92153.93927999987	26912.76425	19893.97179	13235.270369999998	46030.23112000007	21272.161219999987	14849.480439999996	43937.50885000004	14423.64252	5569.10887	10226.87817	28986.07395000002	4041.63759	9225.795209999998	35182.95159000001	20534.780649999982	40001.42213000005	36081.99008999997	72073.81456999989	21683.93621000001	12543.802920000013	17424.74136	38321.85453	17109.246670000004	4729.812720000001	18758.62143	13614.47679000001	19515.68631	7698.216739999997	121969.33545999994
TSC013	2538.8754400000003	24955.72091	12623.963430000003	14558.730490000002	126687.37735000016	6667.620310000003	74823.02527999991	22067.84984999999	13525.550239999991	22856.333050000005	5869.023440000001	25292.596129999976	49737.87999	5683.242429999999	16581.816150000013	112310.6936900001	13129.672	2940.0400699999987	7392.520520000001	2857.70846	12860.826459999991	7667.906709999997	5070.579289999998	10851.68244	15877.11411999999	10274.814909999996	17199.479179999995	27508.28419999999	16730.38595999999	33375.49825999998	33301.464209999984	13997.38223	12305.370180000002	60038.50103999999	47998.433789999945	56045.16844000006	5683.214930000002	14790.214539999995	38913.800219999976	12555.376510000006	4798.262049999999	5239.720839999998	65389.70813	92261.43212000008	82263.739	32773.35455	104240.40642999996	29310.02461	20610.991930000004	7632.290469999998	12336.68507	4019.768690000001	13790.051029999991	7430.654500000001	9846.935470000002	18954.462569999985	57861.51602	140501.3998500003	92717.61335999992	26349.042939999992	18579.96215000001	13769.104389999991	53319.97917000004	24334.484520000013	16303.753680000009	41075.86257999998	15010.344259999987	6511.473760000001	9796.838620000002	35819.82460999995	3914.224920000001	10126.860700000005	38352.18452000001	20059.83073	47742.90634000008	39155.31654	72771.18825999997	22349.27841999999	12566.994340000005	18516.926520000005	40533.90555	19962.76075	7187.923900000005	18978.85827999999	13534.26195	19103.630280000005	7429.768790000002	123251.79854000018
