	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	53.2119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.8866	0.0	0.0	0.0	36.1316	0.0	0.0	120.9551	0.0	0.0	0.0	0.0	280.1373	94.6494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.3243	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.99431	50.2445	0.0	0.0	106.573	0.0	0.0	0.0	11.7475	0.0	22.2404	21.4458	43.1284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.5	0.0	0.0	0.0	0.0	0.0	29.358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0272	0.0	106.37	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.7926	0.0	0.0	281.368	281.368	15.3798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0908	0.0	0.0	18.5862	0.0	0.0	0.0	0.0	0.0	18.692	0.0
TSC003	0.0	0.0	0.0	0.0	54.7824	0.0	0.0	66.2496	0.0	91.1677	0.0	0.0	36.3796	0.0	0.0	0.0	9.22079	0.0	0.0	0.0	44.5486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.3871	0.0	0.0	0.0	0.0	0.0	0.0	162.4325	0.0	0.0	0.0	0.0	310.3425	52.1585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.9813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7495	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	37.1624	0.0	0.0	98.8618	21.79	98.8618	0.0	0.0	0.0	0.0	0.0	42.172	56.411199999999994	0.0	36.3541	109.0345	79.0694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.6383	53.7256	0.0	0.0
TSC006	25.6838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	876.1492999999999	0.0	0.0	0.0	0.0	0.0	0.0	82.4419	21.7293	0.0	21.3536	43.9774	138.3299	70.3043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.4312	12.9605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3622	0.0	0.0
TSC008	30.3471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	508.9367	0.0	0.0	0.0	0.0	0.0	0.0	55.652	16.4226	0.0	0.0	42.3146	99.2391	99.5952	51.8831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.72	7.81593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.6395	0.0	0.0
TSC011	38.7849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.9747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.6474	16.8442	20.1542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.1165	0.0	0.0	0.0	0.0	27.6854	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	25.9204	0.0	0.0	72.0228	233.3256	72.0228	0.0	0.0	0.0	0.0	0.0	33.8723	0.0	0.0	0.0	0.0	0.0	28.9233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.6373	0.0	0.0	0.0	0.0	0.0	39.9257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0026	0.0
TSC014	27.6371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320.58759999999995	0.0	0.0	0.0	0.0	0.0	0.0	15.3347	15.3347	88.4732	23.7192	0.0	0.0	145.559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.4636	0.0	0.0	0.0	12.59866	0.0	0.0	0.0	8.97326	24.5862	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	122.184	0.0	0.0	111.1003	140.6805	97.8337	0.0	0.0	0.0	0.0	0.0	27.7482	67.1069	12.8297	20.4547	34.686099999999996	164.1712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	544.4068	0.0	0.0	0.0	0.0	0.0	0.0	158.87210000000002	105.3465	30.5348	18.7037	0.0	107.613	0.0	33.3058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.879	0.0	0.0	0.0	0.0	0.0	223.9699	0.0	0.0	0.0	0.0	35.4275	0.0	0.0	0.0	0.0	0.0	0.0
TSC020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.7852	207.9683	94.7852	0.0	0.0	0.0	0.0	0.0	50.18324	7.21337	34.6374	0.0	0.0	126.9726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.9869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.3642	0.0	20.2582
TSC021	301.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0321	93.6036	0.0	0.0	0.0	0.0	0.0	23.356299999999997	0.0	1430.6	0.0	0.0	110.8982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1455.29	0.0	0.0	0.0	0.0	0.0	0.0	33.0809	0.0	0.0
TSC023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.2744	260.9764	59.0166	0.0	0.0	0.0	0.0	0.0	46.8614	30.7637	0.0	0.0	17.8925	0.0	39.2899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.7075	0.0	0.0	0.0	59.4134	0.0	0.0	0.0	0.0	79.89	0.0	0.0
TSC025	582.564	0.0	0.0	0.0	0.0	0.0	0.0	27.1969	0.0	43.6596	0.0	0.0	0.0	0.0	0.0	0.0	18.3028	0.0	0.0	6.6672	9.94844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.706	0.0	27.1319	0.0	0.0	37.8839	0.0	0.0
TSC027	109.496	0.0	0.0	0.0	0.0	0.0	0.0	118.05	283.2933	118.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.3628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.2257	0.0	0.0	0.0	77.639	0.0	0.0	0.0	0.0	67.85130000000001	0.0	0.0
TSC028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	833.21109	46.1895	0.0	0.0	24.5003	43.0347	0.0	36.0562	0.0	0.0	25.6527	25.6527	141.2865	49.7942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.249	0.0	0.0	0.0	106.8502	0.0	0.0	0.0	0.0	87.57570000000001	0.0	0.0
TSC031	89.8451	0.0	0.0	461.771	0.0	0.0	0.0	65.4505	25.3002	65.4505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.4613	0.0	0.0	0.0	31.6731	97.183	0.0	0.0
TSC033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.9784	0.0	0.0	0.0	0.0	0.0	0.0	69.4835	0.0	0.0	0.0	69.2188	37.0274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.472	0.0	0.0	0.0	246.823	0.0	0.0	0.0	0.0	85.057	0.0	0.0
TSC036	0.0	0.0	0.0	0.0	0.0	0.0	448.539	0.0	12.1038	0.0	0.0	0.0	0.0	0.0	0.0	112.7924	0.0	0.0	0.0	13.7505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.7914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.2965	0.0	0.0
TSC039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8123	0.0	0.0	0.0	0.0	0.0	0.0	418.21224000000007	0.0	0.0	0.0	0.0	525.0908000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.3414	0.0	0.0	0.0	0.0	0.0	37.7049	80.1499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.987750000000005	0.0	0.0
TSC040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.827	207.909	191.827	0.0	0.0	0.0	0.0	0.0	25.1538	0.0	0.0	54.7849	102.9787	52.0857	0.0	14.7951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.484	0.0	181.346	0.0	0.0	0.0	15.4176	108.931	0.0	0.0
TSC043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	687.3594	0.0	0.0	0.0	0.0	0.0	0.0	120.9175	0.0	0.0	0.0	41.7485	220.6286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.99599999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	446.07	0.0	0.0	0.0	0.0	0.0	0.0	210.6651	0.0	0.0	0.0	21.5677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0531	0.0	0.0	0.0	0.0	97.5464	0.0	0.0
TSC047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5559	0.0	0.0	87.4251	0.0	0.0	0.0	26.839	36.3721	0.0	0.0
TSC050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	443.902	0.0	0.0	0.0	0.0	0.0	0.0	67.3972	0.0	0.0	0.0	0.0	273.92895000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.88	0.0	0.0	0.0	0.0
TSC053	49.2053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	544.6763	98.0278	0.0	0.0	0.0	0.0	0.0	88.54316	0.0	73.4508	0.0	50.0366	23.834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.3217	0.0	0.0	0.0	386.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.3921	188.8254	0.0	0.0	0.0	0.0	0.0	178.6453	83.25970000000001	0.0	0.0	22.1051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	488.6486	107.892	0.0	0.0	0.0	0.0	0.0	42.679	0.0	0.0	0.0	28.3179	26.4598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.4162	0.0	0.0	0.0	257.143	0.0	0.0	0.0	0.0	52.6388	0.0	0.0
TSC060	0.0	0.0	0.0	24.9882	0.0	0.0	0.0	0.0	49.8134	71.8135	0.0	0.0	0.0	0.0	0.0	46.183899999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.7457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.4256	0.0	0.0
TSC062	0.0	0.0	0.0	67.7295	0.0	0.0	0.0	104.2449	150.91809999999998	104.2449	0.0	0.0	0.0	0.0	0.0	14.6065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.351	240.8542	142.351	0.0	0.0	0.0	0.0	0.0	167.60336	70.524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.32637	0.0	0.0
TSC066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.48845	547.75759	59.229699999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.938	0.0	15.07	59.506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.4457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.708	0.0	0.0
TSC068	561.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.2296	118.6378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.5637	0.0	80.9993	106.08514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	768.172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	924.0433	0.0	0.0
TSC069	55.8514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402.03330000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81461	26.9211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.8103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45472	0.0	0.0
TSC070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.3489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.1992	0.0	0.0	30.4892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	456.3969	0.0	0.0
TSC071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.6664	0.0	135.344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.553	0.0	0.0	0.0	0.0	96.5002	0.0	0.0	55.2782	65.5366	0.0	0.0
TSC072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.7039	242.97000000000003	36.8751	0.0	0.0	0.0	0.0	0.0	12.0091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9359	80.408	0.0	0.0
TSC073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.9701	308.18639999999994	17.9701	0.0	0.0	88.9902	0.0	0.0	22.8073	0.0	0.0	0.0	0.0	17.9367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.8426	0.0	0.0	0.0	24.7816	0.0	0.0	0.0	59.9349	0.0	0.0	0.0
TSC075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254.6229	0.0	0.0	0.0	0.0	0.0	0.0	25.6824	25.6824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.6226	0.0	0.0	0.0	43.2162	22.3066	0.0	0.0
TSC077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.3765	62.36687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0451	797.8263	49.0451	0.0	0.0	0.0	0.0	0.0	116.7854	78.5368	0.0	0.0	19.9671	41.8453	0.0	78.5368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2905	0.0	0.0	0.0	163.7444	0.0	0.0	27.2193	37.6276	0.0	0.0	0.0
TSC081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1264.1321	0.0	0.0	0.0	0.0	0.0	0.0	153.6371	0.0	75.6086	0.0	15.7954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.2678	0.0	0.0	0.0	107.4401	0.0	0.0	0.0
TSC083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.343	0.0	0.0	0.0	0.0	0.0	0.0	215.174	0.0	125.249	100.873	166.07	43.3951	28.8232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.7192	0.0	0.0
TSC085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.8277	0.0	0.0	0.0	0.0	0.0	0.0	89.1536	89.1536	0.0	0.0	11.9518	28.5533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0508	0.0	0.0	0.0	51.6012	0.0	0.0	0.0	71.30460000000001	0.0	0.0	0.0
TSC087	55.4218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.084	0.0	0.0	0.0	0.0	0.0	0.0	53.8507	0.0	0.0	0.0	0.0	119.7807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.3455	0.0	0.0	0.0	33.091	58.2342	25.6553	0.0
TSC089	160.3616	0.0	0.0	0.0	0.0	0.0	51.8272	0.0	218.8021	0.0	0.0	0.0	0.0	0.0	0.0	68.506	0.0	0.0	0.0	25.6554	21.6801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.5365	0.0	0.0	18.5298	50.7753	125.0264	45.9952	0.0
TSC092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.03861	38.0582	55.5726	0.0	31.2159	80.4159	0.0	62.12650000000001	0.0	0.0	0.0	0.0	0.0	0.0	5.28464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.6368	0.0	0.0	0.0	147.7956	0.0	0.0	0.0
TSC096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372.3468	0.0	0.0	0.0	0.0	0.0	0.0	38.4131	0.0	72.2358	72.2358	72.2358	0.0	17.9946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.6602	0.0	0.0	0.0	0.0	0.0	0.0	37.0328	430.014	0.0	0.0	0.0
TSC099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1510.5443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.8598	109.6767	242.5035	38.834	104.1955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.7897	0.0	0.0	0.0	0.0	0.0	0.0	19.8787	27.7877	93.6518	65.8641	65.8641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5441	0.0	0.0	121.8076	791.9282	0.0	0.0	0.0
TSC106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	461.4752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1299.494	1265.91	1499.674	103.504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.1534	0.0	0.0
TSC110	10.3344	0.0	0.0	0.0	0.0	0.0	0.0	20.992	136.8554	20.992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0304	38.93617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.9439	171.6653	0.0	0.0	0.0
TSC113	119.22	0.0	0.0	0.0	0.0	0.0	0.0	30.5654	844.2997999999998	63.302499999999995	0.0	0.0	0.0	0.0	0.0	16.66187	25.5965	78.0677	78.0677	78.0677	17.7733	0.0	0.0	0.0	0.0	35.624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.9265	260.73810000000003	0.0	0.0	0.0	14.8981	0.0	0.0
TSC115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.309	261.3225	261.3225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.9716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.731	0.0	0.0
TSC117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.5863	191.8666	43.5863	0.0	0.0	0.0	0.0	0.0	28.5266	0.0	949.052	0.0	12.5778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.8297	0.0	0.0	0.0	0.0	0.0	0.0	24.258	33.0607	14.2685	0.0	0.0
TSC120	52.3177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.5188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.5542	89.5542	147.2173	14.2685	14.6832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.1601	0.0	0.0	0.0
TSC123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.753	38.753	156.15269999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.9687	0.0	0.0
TSC126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.6658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.4436	0.0	0.0	0.0	267.627	0.0	0.0	0.0
